"","GeneSymbol","logFC","AveExpr","t","P.Value","adj.P.Val"
"1","IGF2BP3",-3.7390312840184,1.96264750054889,-20.4515505861684,3.95320441290948e-50,4.9964550574763e-46
"2","OBSL1",-3.41873529198246,2.15949487255748,-15.1688941480526,7.69196510637225e-35,4.69704781377201e-31
"3","RIPK4",-3.53842232175468,-2.50145050944955,-11.8949078085053,4.98009753736027e-25,1.25886905549393e-21
"4","SALL4",-3.07625299447271,-2.37514771125799,-9.95966376488564,2.3330792838267e-19,2.45731575569047e-16
"5","PPFIBP1",-2.37333731112379,0.209645111213982,-8.8056483215951,4.08653633937172e-16,2.45951108539615e-13
"6","TSPAN7",-2.27174601069193,1.29667357210893,-8.58263532483189,1.66296068125552e-15,9.13833045669064e-13
"7","FST",-2.33309712951308,1.89022510054396,-8.49254857508248,2.91925597070671e-15,1.47585904855049e-12
"8","DLL1",-2.3251008865461,-0.5379592202517,-8.35271372331682,6.95736625822621e-15,3.14050543349004e-12
"9","FTCD",-2.75193110608734,-1.98838466182892,-8.29555350213569,9.9046539544463e-15,4.31672142518092e-12
"10","MMP2",-2.17157330907872,0.429413488155905,-7.94351755125608,8.51232513680779e-14,3.47055733561657e-11
"11","ACKR3",-2.39049895537432,-0.194735804531897,-7.83105462802178,1.67689978095689e-13,6.62323010359817e-11
"12","MYCN",-2.49595633544613,0.602055602477889,-7.77380410644901,2.36390441048845e-13,9.05375389217076e-11
"13","TRPM6",-2.64613143719281,0.640883631347923,-7.63085925033982,5.54144259528681e-13,2.059949792995e-10
"14","AFAP1L2",-2.32725280355204,0.866678420710443,-7.57369757841211,7.77360238391844e-13,2.80715887229558e-10
"15","ISLR",-2.54739818657282,-2.65136011621106,-7.56084147863379,8.38700980393891e-13,2.94453935866622e-10
"16","CSDC2",-2.17349738462623,0.367359606100752,-7.50389725813248,1.17318768631517e-12,3.90208399140458e-10
"17","CCDC3",-2.64217164699048,-2.05973025216034,-7.45256075294136,1.58595950740999e-12,5.01123555353872e-10
"18","GASK1A",-2.32031766397523,-1.23611785336786,-7.14635358028769,9.36317236842383e-12,2.75211943173276e-09
"19","APBA2",-2.9179628954707,-1.2009297474973,-7.06701855374354,1.47362271802515e-11,4.13891500735997e-09
"20","COL1A1",-2.81004248252248,-2.24960453873517,-7.00975146978427,2.04086667272846e-11,5.60750301665542e-09
"21","WDR72",-2.35195412951421,-2.8295201729942,-6.96925098682008,2.56715761605469e-11,6.90346917219472e-09
"22","COL6A2",-3.75636804153284,-1.0563680705147,-6.9466639499517,2.91662971759504e-11,7.67985062514244e-09
"23","TMPRSS7",-2.69815347571111,-0.769275900772271,-6.80045936414276,6.62557375068559e-11,1.6748125326983e-08
"24","SORCS2",-2.59326596979467,-0.0894110929697619,-6.74010108468957,9.26997395420429e-11,2.29731766288604e-08
"25","ARHGAP36",-2.22149813256676,-3.02854128887366,-6.66796738953305,1.38168074558991e-10,3.2949175365115e-08
"26","GCGR",-2.31738477994413,-2.71859027146777,-6.57702395901138,2.27713578342878e-10,5.32976280865858e-08
"27","ILDR2",-2.16772366869686,-0.302665470950315,-6.44101135589362,4.77109325748349e-10,1.07681870859525e-07
"28","CDH11",-2.18055543537699,-1.51550026611814,-6.36280306065455,7.26957958273927e-10,1.6119336201095e-07
"29","KIRREL1",-1.90503482962454,0.611267832613942,-6.35315610191128,7.65553534081047e-10,1.66824674435351e-07
"30","SPATA31E1",-2.40444404220048,-3.20243773397182,-6.33739861088821,8.32967304127337e-10,1.78438538251956e-07
"31","ABCB1",-2.34881106550981,-0.936584165226231,-6.11467257994532,2.70841449568495e-09,5.61174603458396e-07
"32","PLCL1",-1.85956845644133,0.306804286672919,-6.07789983053409,3.28223197664017e-09,6.69098870205728e-07
"33","AXL",-2.03688041985988,0.971442966557846,-5.72335196748173,2.01513026616434e-08,3.85897445970472e-06
"34","CACNA1I",-2.18628481072079,1.92189452143312,-5.53170383599125,5.21728055144972e-08,9.5566969405468e-06
"35","PRSS33",-2.34663800614259,-2.64347197258653,-5.46609973892513,7.18984570185468e-08,1.29817799751059e-05
"36","ZNF711",-1.67947460845657,-0.316211657782405,-5.29437629781262,1.64426135112793e-07,2.77090922892079e-05
"37","SOX4",-1.56311830354108,0.876163732836057,-5.27745334449614,1.78218380878248e-07,2.96381857357917e-05
"38","PLEKHG5",-1.83129762352344,2.9151759491233,-5.10878013234656,3.93918295904923e-07,6.22341667742791e-05
"39","GLYCINE N-PHENYLACETYLTRANSFERASE ",-1.7727485678601,-0.278726774596077,-5.07663899702343,4.57261373065068e-07,7.04795913923096e-05
"40","COL27A1",-1.90044595930234,-2.22854192928242,-5.0119602171442,6.16051134072774e-07,9.38104853439252e-05
"41","PALD1",-1.95573060401966,-0.269639337853675,-4.95888391471136,7.85197743839986e-07,0.000118144217671352
"42","VEGFC",-1.90877788926071,-1.62842388727095,-4.80594007187381,1.56370922795856e-06,0.000217183746507344
"43","C2",-2.46121100943326,0.58212833417357,-4.41114614128606,8.61275721422192e-06,0.0011339233169849
"44","KLRA1",-1.80220272465759,-0.775608993718978,-4.25081958053479,1.67024826016158e-05,0.00206963409413551
"45","NRP1",-1.52507215809132,2.55206617990015,-4.20123797634254,2.04240942178795e-05,0.002506214823493
"46","MSX2",-1.73463677016313,0.498530838226774,-4.13513807472228,2.66334501524982e-05,0.00314598295773295
"47","NEO1",-1.78551972007853,0.608563922125578,-4.12842615713626,2.73563254489368e-05,0.00320144997545475
"48","NLGN1",-1.69064051815688,-1.73694789538354,-3.96734717482096,5.1515641050686e-05,0.00578942481953801
"49","PEG3",-1.71804917581592,0.897719346925084,-3.82961681221509,8.71880240081024e-05,0.00933872402913903
"50","ZNF229",-1.36235590432123,1.14545992131287,-3.80597797356862,9.52942173453557e-05,0.0101212068321677
"51","RNASE13",-1.80294617858982,-1.83906526193005,-3.78618356784466,0.000102626262870155,0.0108091111367991
"52","TXK",-1.36534372850273,4.96439473649617,-3.75702123616682,0.000114407641127207,0.0118617032763033
"53","C1QC",-2.02589541404211,1.87642741709808,-3.72970265196379,0.000126595335999612,0.0130084426967406
"54","COL2A1",-1.63960872486476,-1.7826251140901,-3.70713162044214,0.000137580692146988,0.014023244903595
"55","CHST1",-1.79772784760001,0.0387164097647158,-3.61398703163781,0.000193169499395293,0.019376740498866
"56","MX1",-1.6857997199822,6.07812945826768,-3.60041081850366,0.000202853578134388,0.0201879242050436
"57","ELN",-1.77980036686621,-3.68266579784749,-3.56205304725411,0.00023274340494838,0.0229815929308013
"58","ASTL",-1.66984755677131,2.13184802855235,-3.52311863789699,0.000267284091218954,0.0261876250303594
"59","S100A3",-1.6310407167868,-2.83451404491588,-3.46129427990613,0.000332175829787239,0.031299364722392
"60","ATCAY",-1.63843533376356,-0.814225379414122,-3.45945516955219,0.000334315550084889,0.031299364722392
"61","LEF1",-1.34788257589361,3.62130252764357,-3.43626881991018,0.000362423399565763,0.0334355426796473
"62","C1QB",-2.03961011708319,1.91309802596265,-3.38745076485803,0.000428989409448217,0.0384538804681987
"63","MERTK",-1.71296321835423,0.452862378585874,-3.31829822345243,0.000543017083294712,0.0461267005999917
"64","ADRA2B",-1.62717022390893,0.88145666671345,-3.31387846708254,0.000551190137770903,0.0464432810085763
"65","MARK1",-1.54106562640015,-2.92243384588987,-3.29433358064383,0.000588726100992746,0.0492775443075981
