"","PC1","PC2","SampleID","lib.size","norm.factors","Sample","ID","rna_lib_type","rna_batch","pair","mother","sex","date_birth","remark","year","ID_tp","ID_tp.1","group","sample_collection_date","sample_collection_Dec_days","delta_days_samples","age_days","tissue","colony","life_history_stage"
"FWB17_FWB_mum_end_2019B",-18.7605323907009,-28.2739098434943,"FWB17_FWB_mum_end_2019B",19103770.8293202,1.21378379936677,"FWB17_FWB_mum_end_2019B","FWB17","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","FWB17_N17",NA,"F",NA,NA,"2019_2020","FWB17_2","FWB17_2","2","06-02-2020",68,56,NA,"blood","FWB","Mother"
"FWB19_FWB_mum_start_2019B",101.42810761755,23.438976446299,"FWB19_FWB_mum_start_2019B",14469441.1178931,0.711086116970324,"FWB19_FWB_mum_start_2019B","FWB19","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCutzE","FWB19_N19",NA,"F",NA,NA,"2019_2020","FWB19_1","FWB19_1","1","18-12-2019",18,0,NA,"blood","FWB","Mother"
"FWB19_FWB_mum_end_2019B",1.45000605911606,-14.6024158093461,"FWB19_FWB_mum_end_2019B",13220430.4812782,0.806180670623175,"FWB19_FWB_mum_end_2019B","FWB19","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCuueE","FWB19_N19",NA,"F",NA,NA,"2019_2020","FWB19_2","FWB19_2","2","19-02-2020",81,63,NA,"blood","FWB","Mother"
"FWB21_FWB_mum_start_2019B",36.1778625356585,13.5376325891443,"FWB21_FWB_mum_start_2019B",20861908.7927882,0.970800126006495,"FWB21_FWB_mum_start_2019B","FWB21","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","FWB21_N21",NA,"F",NA,NA,"2019_2020","FWB21_1","FWB21_1","1","20-12-2019",20,0,NA,"blood","FWB","Mother"
"FWB21_FWB_mum_end_2019B",-60.5598496386738,-19.6766146397721,"FWB21_FWB_mum_end_2019B",25578393.9358831,1.28055393235113,"FWB21_FWB_mum_end_2019B","FWB21","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCuueE","FWB21_N21",NA,"F",NA,NA,"2019_2020","FWB21_2","FWB21_2","2","17-02-2020",79,59,NA,"blood","FWB","Mother"
"FWB22_FWB_mum_start_2019B",7.20145777874154,-31.5225471695783,"FWB22_FWB_mum_start_2019B",30468524.1053342,1.28780606040138,"FWB22_FWB_mum_start_2019B","FWB22","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","FWB22_N22",NA,"F",NA,NA,"2019_2020","FWB22_1","FWB22_1","1","20-12-2019",20,0,NA,"blood","FWB","Mother"
"FWB22_FWB_mum_end_2019B",-65.9657033826273,-14.1197587897405,"FWB22_FWB_mum_end_2019B",30879844.9662467,1.43164777576191,"FWB22_FWB_mum_end_2019B","FWB22","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","FWB22_N22",NA,"F",NA,NA,"2019_2020","FWB22_2","FWB22_2","2","22-02-2020",84,64,NA,"blood","FWB","Mother"
"FWB23_FWB_mum_start_2019B",65.5332385467113,50.1408846052295,"FWB23_FWB_mum_start_2019B",18220946.5592936,0.780442639280535,"FWB23_FWB_mum_start_2019B","FWB23","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","FWB23_N23",NA,"F",NA,NA,"2019_2020","FWB23_1","FWB23_1","1","20-12-2019",20,0,NA,"blood","FWB","Mother"
"FWB23_FWB_mum_end_2019B",23.2844399208195,17.2853095315372,"FWB23_FWB_mum_end_2019B",19009670.525758,0.905453054581223,"FWB23_FWB_mum_end_2019B","FWB23","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","FWB23_N23",NA,"F",NA,NA,"2019_2020","FWB23_2","FWB23_2","2","18-01-2020",49,29,NA,"blood","FWB","Mother"
"FWB24_FWB_mum_start_2019B",40.1949557425258,21.2549288866021,"FWB24_FWB_mum_start_2019B",17730293.2197826,0.936562866566231,"FWB24_FWB_mum_start_2019B","FWB24","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","FWB24_N24",NA,"F",NA,NA,"2019_2020","FWB24_1","FWB24_1","1","20-12-2019",20,0,NA,"blood","FWB","Mother"
"FWB24_FWB_mum_end_2019B",-5.56189723608649,-20.2381375302994,"FWB24_FWB_mum_end_2019B",10390390.3281542,0.986022174668582,"FWB24_FWB_mum_end_2019B","FWB24","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","FWB24_N24",NA,"F",NA,NA,"2019_2020","FWB24_2","FWB24_2","2","19-03-2020",110,90,NA,"blood","FWB","Mother"
"FWB4_FWB_mum_start_2019B",10.4221364776539,67.2823781405617,"FWB4_FWB_mum_start_2019B",25124332.2040078,0.867420534036558,"FWB4_FWB_mum_start_2019B","FWB4","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","FWB4_N4",NA,"F",NA,NA,"2019_2020","FWB4_1","FWB4_1","1","10-12-2019",10,0,NA,"blood","FWB","Mother"
"FWB4_FWB_mum_end_2019B",-57.4306530157955,-28.3854344695961,"FWB4_FWB_mum_end_2019B",21727264.2858198,1.26269258490804,"FWB4_FWB_mum_end_2019B","FWB4","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","FWB4_N4",NA,"F",NA,NA,"2019_2020","FWB4_2","FWB4_2","2","12-02-2020",74,64,NA,"blood","FWB","Mother"
"FWB5_FWB_mum_start_2019B",56.8258685147228,38.3641437831649,"FWB5_FWB_mum_start_2019B",10449447.1805864,0.664156803440835,"FWB5_FWB_mum_start_2019B","FWB5","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","FWB5_N5",NA,"F",NA,NA,"2019_2020","FWB5_1","FWB5_1","1","10-12-2019",10,0,NA,"blood","FWB","Mother"
"FWB5_FWB_mum_end_2019B",-10.1031283160294,-23.1601005271118,"FWB5_FWB_mum_end_2019B",9155273.10009729,0.910319467251432,"FWB5_FWB_mum_end_2019B","FWB5","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","FWB5_N5",NA,"F",NA,NA,"2019_2020","FWB5_2","FWB5_2","2","21-02-2020",83,73,NA,"blood","FWB","Mother"
"FWB6_FWB_mum_start_2019B",60.3756572233941,51.7229451486989,"FWB6_FWB_mum_start_2019B",13445786.1318546,0.840387368212289,"FWB6_FWB_mum_start_2019B","FWB6","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","FWB6_N6",NA,"F",NA,NA,"2019_2020","FWB6_1","FWB6_1","1","10-12-2019",10,0,NA,"blood","FWB","Mother"
"FWB6_FWB_mum_end_2019B",-15.5367772353063,30.7214564539723,"FWB6_FWB_mum_end_2019B",22399006.7888361,1.00512656132767,"FWB6_FWB_mum_end_2019B","FWB6","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","FWB6_N6",NA,"F",NA,NA,"2019_2020","FWB6_2","FWB6_2","2","10-02-2020",72,62,NA,"blood","FWB","Mother"
"FWB8_FWB_mum_start_2019B",4.04484775902949,64.1964717300572,"FWB8_FWB_mum_start_2019B",16142164.0312531,0.861010135314094,"FWB8_FWB_mum_start_2019B","FWB8","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","FWB8_N8",NA,"F",NA,NA,"2019_2020","FWB8_1","FWB8_1","1","10-12-2019",10,0,NA,"blood","FWB","Mother"
"FWB8_FWB_mum_end_2019B",-70.5499110913676,-11.5048559797309,"FWB8_FWB_mum_end_2019B",19184855.8162336,1.22581732049286,"FWB8_FWB_mum_end_2019B","FWB8","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","FWB8_N8",NA,"F",NA,NA,"2019_2020","FWB8_2","FWB8_2","2","17-02-2020",79,69,NA,"blood","FWB","Mother"
"H13_SSB_pup_start_2018B",-81.2629361399801,30.6645927151146,"H13_SSB_pup_start_2018B",28787092.6149385,1.36151661353353,"H13_SSB_pup_start_2018B","H13","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","S14_H13","S14","M","10-12-2018",NA,"2018_2019","H13_1","H13_1","1","12-12-2018",12,0,"2","blood","SSB","Pup"
"H13_SSB_pup_end_2018B",-16.2341714976429,-44.7264509344828,"H13_SSB_pup_end_2018B",19342071.6955811,1.10764497354913,"H13_SSB_pup_end_2018B","H13","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCuueE","S14_H13","S14","M","10-12-2018",NA,"2018_2019","H13_2","H13_2","2","08-02-2019",70,58,"60","blood","SSB","Pup"
"H14_SSB_pup_start_2018B",28.7154429099151,-39.6334230472028,"H14_SSB_pup_start_2018B",14825123.2889703,0.831662058009371,"H14_SSB_pup_start_2018B","H14","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","S15_H14","S15","M","11-12-2018",NA,"2018_2019","H14_1","H14_1","1","13-12-2018",13,0,"2","blood","SSB","Pup"
"H14_SSB_pup_end_2018B",33.797644786932,-55.4589037378477,"H14_SSB_pup_end_2018B",9969738.76579793,0.711310128393704,"H14_SSB_pup_end_2018B","H14","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCutzE","S15_H14","S15","M","11-12-2018",NA,"2018_2019","H14_2","H14_2","2","07-02-2019",69,56,"58","blood","SSB","Pup"
"H15_SSB_pup_end_2018",-68.0788624161094,-1.86927400525519,"H15_SSB_pup_end_2018",12040509.5504699,1.02286562968631,"H15_SSB_pup_end_2018","H15","BGISEQ-500 Transcriptome","F20FTSEUHT0820_ARCbfrE","S16_H15","S16","F","10-12-2018",NA,"2018_2019","H15_2","H15_2","2","07-02-2019",69,56,"59","blood","SSB","Pup"
"H16_SSB_pup_start_2018B",55.8686703370602,0.196078847753622,"H16_SSB_pup_start_2018B",22034604.5719049,0.892750852727195,"H16_SSB_pup_start_2018B","H16","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","S17_H16","S17","F","11-12-2018",NA,"2018_2019","H16_1","H16_1","1","14-12-2018",14,0,"3","blood","SSB","Pup"
"H16_SSB_pup_end_2018B",24.5348730988097,-59.6805822626593,"H16_SSB_pup_end_2018B",28498675.3189467,1.16501251905714,"H16_SSB_pup_end_2018B","H16","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCuueE","S17_H16","S17","F","11-12-2018",NA,"2018_2019","H16_2","H16_2","2","16-02-2019",78,64,"67","blood","SSB","Pup"
"H17_SSB_pup_start_2018B",-38.7376766161872,18.4568052856164,"H17_SSB_pup_start_2018B",24169212.6396708,1.16042142721143,"H17_SSB_pup_start_2018B","H17","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","S18_H17","S18","F","12-12-2018",NA,"2018_2019","H17_1","H17_1","1","15-12-2018",15,0,"3","blood","SSB","Pup"
"H17_SSB_pup_end_2018B",-15.1394590246246,-58.7400361910769,"H17_SSB_pup_end_2018B",21479030.2300829,1.14959296842335,"H17_SSB_pup_end_2018B","H17","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCokaE","S18_H17","S18","F","12-12-2018",NA,"2018_2019","H17_2","H17_2","2","12-02-2019",74,59,"62","blood","SSB","Pup"
"H18_SSB_pup_start_2018B",45.5871435423605,-0.66037123863629,"H18_SSB_pup_start_2018B",18043626.3558627,0.925664693854816,"H18_SSB_pup_start_2018B","H18","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","S19_H18","S19","M","14-12-2018",NA,"2018_2019","H18_1","H18_1","1","16-12-2018",16,0,"2","blood","SSB","Pup"
"H18_SSB_pup_end_2018B",-5.24068785139784,-57.4985126091888,"H18_SSB_pup_end_2018B",29812166.9836045,1.19566532895219,"H18_SSB_pup_end_2018B","H18","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","S19_H18","S19","M","14-12-2018",NA,"2018_2019","H18_2","H18_2","2","13-02-2019",75,59,"61","blood","SSB","Pup"
"H19_SSB_pup_start_2018B",23.9591447547452,-32.5451991674409,"H19_SSB_pup_start_2018B",7630472.19389991,0.746488588252112,"H19_SSB_pup_start_2018B","H19","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCutzE","S20_H19","S20","F","14-12-2018",NA,"2018_2019","H19_1","H19_1","1","16-12-2018",16,0,"2","blood","SSB","Pup"
"H19_SSB_pup_end_2018B",32.8993575483279,-83.2307548888926,"H19_SSB_pup_end_2018B",8626595.59775121,0.889359929888447,"H19_SSB_pup_end_2018B","H19","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCutzE","S20_H19","S20","F","14-12-2018",NA,"2018_2019","H19_2","H19_2","2","30-01-2019",61,45,"47","blood","SSB","Pup"
"H20_SSB_pup_start_2018B",1.15469171739525,49.7102116656376,"H20_SSB_pup_start_2018B",29834830.9699323,1.01927896394112,"H20_SSB_pup_start_2018B","H20","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","S21_H20","S21","M","20-12-2018",NA,"2018_2019","H20_1","H20_1","1","23-12-2018",23,0,"3","blood","SSB","Pup"
"H20_SSB_pup_end_2018B",7.20971963543375,-5.86543774941619,"H20_SSB_pup_end_2018B",7250610.16419634,0.897017971974905,"H20_SSB_pup_end_2018B","H20","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","S21_H20","S21","M","20-12-2018",NA,"2018_2019","H20_2","H20_2","2","15-02-2019",77,54,"57","blood","SSB","Pup"
"H22_SSB_pup_start_2018B",-63.8233783652652,-17.0715910357968,"H22_SSB_pup_start_2018B",30675712.2615798,1.42652940011025,"H22_SSB_pup_start_2018B","H22","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","S23_H22","S23","F","22-12-2018",NA,"2018_2019","H22_1","H22_1","1","25-12-2018",25,0,"3","blood","SSB","Pup"
"H22_SSB_pup_end_2018B",-65.5260999808861,-58.5948404193817,"H22_SSB_pup_end_2018B",21595250.6366214,1.31026665042772,"H22_SSB_pup_end_2018B","H22","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","S23_H22","S23","F","22-12-2018",NA,"2018_2019","H22_2","H22_2","2","11-02-2019",73,48,"51","blood","SSB","Pup"
"H3_SSB_pup_start_2018B",-34.4846320865466,-25.1770696160832,"H3_SSB_pup_start_2018B",27193173.1469721,1.36374641571214,"H3_SSB_pup_start_2018B","H3","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCuueE","S2_H3","S2","F","03-12-2018",NA,"2018_2019","H3_1","H3_1","1","05-12-2018",5,0,"2","blood","SSB","Pup"
"H3_SSB_pup_end_2018B",2.99576387249252,-54.8807881287855,"H3_SSB_pup_end_2018B",14372375.1985794,1.07397557197963,"H3_SSB_pup_end_2018B","H3","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCutzE","S2_H3","S2","F","03-12-2018",NA,"2018_2019","H3_2","H3_2","2","06-02-2019",68,63,"65","blood","SSB","Pup"
"H6_SSB_pup_start_2018B",-12.8545571386542,-21.5288536352814,"H6_SSB_pup_start_2018B",13494836.0403886,1.0365858196854,"H6_SSB_pup_start_2018B","H6","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","S6_H6","S6","M","04-12-2018",NA,"2018_2019","H6_1","H6_1","1","07-12-2018",7,0,"3","blood","SSB","Pup"
"H6_SSB_pup_end_2018B",-25.010478184006,-15.9365539849889,"H6_SSB_pup_end_2018B",9239781.25255956,0.974194486205485,"H6_SSB_pup_end_2018B","H6","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","S6_H6","S6","M","04-12-2018",NA,"2018_2019","H6_2","H6_2","2","03-02-2019",65,58,"61","blood","SSB","Pup"
"H7_SSB_pup_start_2018B",-3.4977335224285,-21.3341805034392,"H7_SSB_pup_start_2018B",18757948.4931562,0.777789565901981,"H7_SSB_pup_start_2018B","H7","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","S7_H7","S7","F","05-12-2018",NA,"2018_2019","H7_1","H7_1","1","08-12-2018",8,0,"3","blood","SSB","Pup"
"H7_SSB_pup_end_2018B",-53.473347421269,-80.1059835010696,"H7_SSB_pup_end_2018B",17363389.6189352,1.24903991326665,"H7_SSB_pup_end_2018B","H7","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","S7_H7","S7","F","05-12-2018",NA,"2018_2019","H7_2","H7_2","2","11-02-2019",73,65,"68","blood","SSB","Pup"
"H8_SSB_pup_start_2018B",-53.7864301353894,3.39391313148698,"H8_SSB_pup_start_2018B",29591988.8675563,1.39519713941839,"H8_SSB_pup_start_2018B","H8","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","S9_H8","S9","M","05-12-2018",NA,"2018_2019","H8_1","H8_1","1","09-12-2018",9,0,"4","blood","SSB","Pup"
"H8_SSB_pup_end_2018B",-17.7350042808385,2.4496419128575,"H8_SSB_pup_end_2018B",15728822.8045824,1.05878253516133,"H8_SSB_pup_end_2018B","H8","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","S9_H8","S9","M","05-12-2018",NA,"2018_2019","H8_2","H8_2","2","19-02-2019",81,72,"76","blood","SSB","Pup"
"N10_FWB_pup_start_2019B",8.50337229155018,-17.2114517746044,"N10_FWB_pup_start_2019B",9743238.47145479,0.451751695274007,"N10_FWB_pup_start_2019B","N10","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","FWB10_N10","FWB10","F",NA,NA,"2019_2020","N10_1","N10_1","1","11-12-2019",11,0,"2to5","blood","FWB","Pup"
"N10_FWB_pup_end_2019B",-44.1869193316427,-16.0580441889416,"N10_FWB_pup_end_2019B",14005137.7096068,0.929425275121371,"N10_FWB_pup_end_2019B","N10","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCutzE","FWB10_N10","FWB10","F",NA,"not sure about delta days","2019_2020","N10_2","N10_2","2","16-02-2020",78,67,"70","blood","FWB","Pup"
"N12_FWB_pup_start_2019B",-52.616998033625,-26.6391197528856,"N12_FWB_pup_start_2019B",21208883.1716286,1.13628784379214,"N12_FWB_pup_start_2019B","N12","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","FWB12_N12","FWB12","F",NA,NA,"2019_2020","N12_1","N12_1","1","11-12-2019",11,0,"2to5","blood","FWB","Pup"
"N12_FWB_pup_end_2019B",-69.5366929708943,-27.951838895084,"N12_FWB_pup_end_2019B",13490332.4446391,1.18356127086983,"N12_FWB_pup_end_2019B","N12","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","FWB12_N12","FWB12","F",NA,"not sure about delta days","2019_2020","N12_2","N12_2","2","19-02-2020",81,70,"73","blood","FWB","Pup"
"N14_FWB_pup_start_2019B",-26.5189883160881,37.7803731204618,"N14_FWB_pup_start_2019B",24494099.2784866,0.993131386447398,"N14_FWB_pup_start_2019B","N14","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","FWB14_N14","FWB14","F",NA,NA,"2019_2020","N14_1","N14_1","1","12-12-2019",12,0,"2to5","blood","FWB","Pup"
"N14_FWB_pup_end_2019B",-47.963598602402,-24.4538450820349,"N14_FWB_pup_end_2019B",9486240.06704558,1.0264779226875,"N14_FWB_pup_end_2019B","N14","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","FWB14_N14","FWB14","F",NA,"not sure about delta days","2019_2020","N14_2","N14_2","2","27-02-2020",89,77,"80","blood","FWB","Pup"
"N15_FWB_pup_start_2019B",51.5981272824131,46.1737655093326,"N15_FWB_pup_start_2019B",9330357.65572243,0.642800446753161,"N15_FWB_pup_start_2019B","N15","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","FWB15_N15","FWB15","M",NA,NA,"2019_2020","N15_1","N15_1","1","12-12-2019",12,0,"2to5","blood","FWB","Pup"
"N15_FWB_pup_end_2019B",-54.7409142643528,9.65007644523438,"N15_FWB_pup_end_2019B",12996449.4045957,1.07057804687152,"N15_FWB_pup_end_2019B","N15","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","FWB15_N15","FWB15","M",NA,"not sure about delta days","2019_2020","N15_2","N15_2","2","17-02-2020",79,67,"70","blood","FWB","Pup"
"N17_FWB_pup_start_2019B",-20.7057655982433,23.1567649472342,"N17_FWB_pup_start_2019B",11912095.7467524,0.926284238679144,"N17_FWB_pup_start_2019B","N17","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","FWB17_N17","FWB17","M",NA,NA,"2019_2020","N17_1","N17_1","1","12-12-2019",12,0,"2to5","blood","FWB","Pup"
"N19_FWB_pup_start_2019B",-29.6010197186413,56.0725988712737,"N19_FWB_pup_start_2019B",34336802.9647899,1.10218818460702,"N19_FWB_pup_start_2019B","N19","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCokaE","FWB19_N19","FWB19","F",NA,NA,"2019_2020","N19_1","N19_1","1","18-12-2019",18,0,"2to5","blood","FWB","Pup"
"N19_FWB_pup_end_2019B",-40.414634302592,-5.24796901849919,"N19_FWB_pup_end_2019B",18232889.1315212,1.13563349391769,"N19_FWB_pup_end_2019B","N19","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","FWB19_N19","FWB19","F",NA,"not sure about delta days","2019_2020","N19_2","N19_2","2","19-02-2020",81,63,"66","blood","FWB","Pup"
"N21_FWB_pup_start_2019B",4.04678082112583,-6.60839779676961,"N21_FWB_pup_start_2019B",24970819.4443043,1.08293967504372,"N21_FWB_pup_start_2019B","N21","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","FWB21_N21","FWB21","M",NA,NA,"2019_2020","N21_1","N21_1","1","20-12-2019",20,0,"2to5","blood","FWB","Pup"
"N22_FWB_pup_start_2019B",-37.8263099314453,-20.0502371685901,"N22_FWB_pup_start_2019B",11580486.0060818,0.933256524429654,"N22_FWB_pup_start_2019B","N22","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","FWB22_N22","FWB22","F",NA,NA,"2019_2020","N22_1","N22_1","1","20-12-2019",20,0,"2to5","blood","FWB","Pup"
"N22_FWB_pup_end_2019B",-49.5258012981974,1.8249925665253,"N22_FWB_pup_end_2019B",16611917.8257251,1.10908804193186,"N22_FWB_pup_end_2019B","N22","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","FWB22_N22","FWB22","F",NA,"not sure about delta days","2019_2020","N22_2","N22_2","2","22-02-2020",84,64,"67","blood","FWB","Pup"
"N24_FWB_pup_start_2019B",-52.2646587960848,52.8168961766799,"N24_FWB_pup_start_2019B",25394461.5437325,1.08709237892531,"N24_FWB_pup_start_2019B","N24","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","FWB24_N24","FWB24","M",NA,NA,"2019_2020","N24_1","N24_1","1","20-12-2019",20,0,"2to5","blood","FWB","Pup"
"N24_FWB_pup_end_2019B",-6.30476450659222,-22.4003727982813,"N24_FWB_pup_end_2019B",32167706.0652819,1.32040158654312,"N24_FWB_pup_end_2019B","N24","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","FWB24_N24","FWB24","M",NA,"not sure about delta days","2019_2020","N24_2","N24_2","2","19-03-2020",110,90,"93","blood","FWB","Pup"
"N4_FWB_pup_start_2019B",4.21908806935181,114.585967489104,"N4_FWB_pup_start_2019B",26748561.9163526,0.771781382673955,"N4_FWB_pup_start_2019B","N4","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","FWB4_N4","FWB4","M",NA,"not sure about age","2019_2020","N4_1","N4_1","1","10-12-2019",10,0,NA,"blood","FWB","Pup"
